LotArea,GrLivArea,Street,Alley,LotType,BldgType,HouseStyle,OverallQuality,OverallCondition,YearBuilt,Foundation,TotalBsmtSF,CentralAir,FullBath,HalfBath,GarageType,GarageCars,GarageArea,YearSold,SaleType,SaleCondition,SalePrice
8910,1194,Pave,NA,Corner,1Fam,1Fam,6,6,1959,CBlock,655,Y,1,0,BuiltIn,2,539,2006,WD,Normal,159500
1526,630,Pave,NA,Inside,Twnhs,SFoyer,4,8,1970,CBlock,630,Y,1,0,Attchd,1,286,2009,WD,Normal,86000
14598,1933,Pave,NA,CulDSac,1Fam,2Story,6,5,2007,PConc,894,Y,2,1,BuiltIn,3,668,2008,WD,Normal,214000
7200,1040,Pave,NA,Inside,Duplex,1Story,4,5,1949,Slab,0,N,2,0,Detchd,2,420,2009,WD,Normal,90000
5687,1716,Pave,Grvl,Inside,2fmCon,2Story,5,6,1912,PConc,780,N,2,0,NA,0,0,2008,WD,Normal,135900
8100,1559,Pave,Pave,Inside,1Fam,1Story,5,6,1948,BrkTil,1559,Y,1,0,Detchd,2,812,2007,COD,Normal,153500
9600,1644,Pave,NA,Inside,1Fam,1Story,6,5,1953,CBlock,1416,Y,1,0,Attchd,2,418,2009,WD,Normal,167000
3182,1200,Pave,Pave,Inside,TwnhsE,2Story,7,5,2004,PConc,600,Y,2,1,Detchd,2,480,2010,WD,Normal,151000
6040,1152,Pave,NA,Inside,Duplex,1Story,4,5,1955,PConc,0,N,2,0,NA,0,0,2008,WD,AdjLand,82000
20544,2093,Pave,NA,CulDSac,1Fam,2Story,7,6,1986,CBlock,791,Y,2,1,Attchd,2,542,2008,WD,Normal,215000
8250,1092,Pave,NA,Inside,1Fam,1Story,6,7,1964,CBlock,1092,Y,1,0,Attchd,2,504,2008,WD,Normal,145000
9196,1560,Pave,NA,Inside,1Fam,1Story,7,5,2003,Do Not use this Field in the Model,1560,Y,2,0,Attchd,2,573,2010,WD,Normal,201000
5400,691,Pave,NA,Corner,1Fam,1Story,5,6,1920,BrkTil,691,Y,1,0,Detchd,1,216,2007,WD,Abnorml,86000
10240,2098,Pave,NA,Inside,1Fam,2Story,8,5,2005,PConc,1030,Y,2,1,Attchd,3,878,2006,WD,Normal,275500
9991,1620,Pave,NA,Corner,1Fam,1Story,4,4,1976,CBlock,1281,Y,2,0,Attchd,2,490,2009,WD,Normal,150000
3182,1504,Pave,NA,Inside,TwnhsE,1Story,7,5,2005,PConc,1346,Y,2,0,Attchd,2,437,2008,WD,Normal,191000
11435,1517,Pave,NA,Corner,1Fam,2Story,8,7,1929,PConc,792,Y,1,0,Detchd,2,400,2006,WD,Normal,230000
